Questions,Option_1,Option_2,Option_3,Option_4,Answer,Explaination,Subject,Series
The curved surface area of a right circular cylinder of height 14 cm is 88 cm2. The diameter of its circular base is,2 cm,1 cm,4 cm,7 cm,2 cm,The stated mensuration formula evaluates to 2 cm.,Mathematics,WX1YZ/2
The pair of linear equations x + 2y 5 = 0 and 2x 4y + 6 = 0,is inconsistent,is consistent with many solutions,is consistent with a unique solution,is consistent with two solutions,is consistent with a unique solution,Substituting the given values for “The pair of linear equations x 2y” gives is consistent with a unique solution.,Mathematics,WX1YZ/2
Which of the following numbers cannot be the probability of an event?,0·5,5%,5·01,145·0,5·01,Favourable outcomes divided by all equally likely outcomes gives 5·01.,Mathematics,WX1YZ/2
8(cos² A + sin² A) is equal to,1,0,9,8,8,Using the standard trigonometric identity gives 8.,Mathematics,WX1YZ/2
"A card is drawn at random from a well-shuffled deck of 52 playing cards. The probability that it is a red king, is",131,521,261,132,261,Favourable outcomes divided by all equally likely outcomes gives 261.,Mathematics,WX1YZ/2
"A solid is of the form of a cone of radof the same radius. If the height of the cone is the same as the diameter of its base, then the volume of the solid is",r3,34r3,3r3,32r3,34r3,The stated mensuration formula evaluates to 34r3.,Mathematics,WX1YZ/2
"If the HCF of 72 and 234 is 18, then the LCM (72, 234) is",936,836,324,234,936,Prime factorisation of the stated numbers gives 936.,Mathematics,WX1YZ/2
"The sum of the first 21 terms of an A.P. : 16, 12, 8, 4, ..... is",480,504,1176,484,504,Applying the arithmetic-progression relation gives 504.,Mathematics,WX1YZ/2
"A solid is of the form of a surmounted on a hemisphere of the same radius. If the height of the cone is the same as the diameter of its base, then the volume of the solid is",r3,34r3,3r3,32r3,34r3,The stated mensuration formula evaluates to 34r3.,Mathematics,WX1YZ/2
The curved surface area of a cone of radius 7 cm is 550 cm2. Its slant height is,24 cm,25 cm,14 cm,20 cm,25 cm,The stated mensuration formula evaluates to 25 cm.,Mathematics,WX1YZ/2
"Two coins are tossed together. The probability of getting atmost two heads, is",21,41,43,1,1,Favourable outcomes divided by all equally likely outcomes gives 1.,Mathematics,WX1YZ/2
A bag contains 100 cards numbered 1 to 100. A card is drawn at random from the bag. What is the probability that the number on the card is a perfect cube?,201,503,251,1007,251,Favourable outcomes divided by all equally likely outcomes gives 251.,Mathematics,WX1YZ/2
"If ABC A = 32 and R = 65, then the measure of B is",32,65,83,97,83,Substituting the given values for “If ABC A 32 and R 65” gives 83.,Mathematics,WX1YZ/2
"If three coins are tossed simultaneously, what is the probability of getting at most one tail?",83,84,85,87,84,Favourable outcomes divided by all equally likely outcomes gives 84.,Mathematics,WX1YZ/2
"In the given figure, the quadrilateral PQRS circumscribes a circle. Here PA + CS is equal to",QR,PR,PS,PQ,PS,The relevant circle measure for “In the given figure the quadrilateral PQRS” is PS.,Mathematics,WX1YZ/2
The hour-hand of a clock is 6 cm long. The angle swept by it between 7:20 a.m. and 7:55 a.m. is,435,235,35,70,235,Substituting the given values for “The hour hand of a clock is” gives 235.,Mathematics,WX1YZ/2
What is the length of the arc of the sector of a circle with radius 14 cm and of central angle 90?,22 cm,44 cm,88 cm,11 cm,22 cm,The relevant circle measure for “What is the length of the arc” is 22 cm.,Mathematics,WX1YZ/2
Which of the following quadratic equations has sum of its roots as 4?,2x2 4x + 8 = 0,x2 + 4x + 4 = 0,2x2 24x + 1 = 0,4x2 4x + 4 = 0,x2 + 4x + 4 = 0,Substituting the given values for “Which of the following quadratic equations has” gives x2 + 4x + 4 = 0.,Mathematics,WX1YZ/2
"If x = 0·3, is a root of the equation x2 0·9k = 0, then k is equal to",1,10,0·1,100,0·1,Substituting the given values for “If x 0 3 is a root” gives 0·1.,Mathematics,WX1YZ/2
"In a single throw of two dice, the probability of getting 12 as a product of two numbers obtained is",91,92,94,95,91,Favourable outcomes divided by all equally likely outcomes gives 91.,Mathematics,WX1YZ/2
"If the area of the base of a cone is 51 cm2 and its volume is 85 cm3, then the vertical height of the cone is given as",65 cm,35 cm,25 cm,5 cm,5 cm,The stated mensuration formula evaluates to 5 cm.,Mathematics,WX1YZ/2
"In a lottery, there are 5 prizes and 20 blanks. The probability of getting a prize is",41,201,251,51,51,Favourable outcomes divided by all equally likely outcomes gives 51.,Mathematics,WX1YZ/2
"In the given figure, A = C, AB = 6 cm, AP = 12 cm, CP = 4 cm. Then length of CD is",2 cm,6 cm,8 cm,18 cm,2 cm,Applying the arithmetic-progression relation gives 2 cm.,Mathematics,WX1YZ/2
"If a pole 6 m high casts a shadow 2 3m long on the ground, then sun’s elevation is:",60 o,45 o,30 o,90 o,60 o,Substituting the given values for “If a pole 6 m high casts” gives 60 o.,Mathematics,WX1YZ/4
"In ∆ ABC, PQ || BC. If PB = 6 cm, AP = 4 cm, AQ = 8 cm, find the length of AC.",12 cm,20 cm,6 cm,14 cm,20 cm,Applying the arithmetic-progression relation gives 20 cm.,Mathematics,WX1YZ/4
"In the given figure, PQ is a tangent to the circle with centre O. If ∠OPQ = x, ∠POQ = y, then x + y is:",45 o,90 o,60 o,180 o,90 o,The relevant circle measure for “In the given figure PQ is a” is 90 o.,Mathematics,WX1YZ/4
"In the given figure, TA is a tangent to the circle with centre O such that OT = 4 cm, ∠OTA = 30 o, then length of TA is:",2 3 cm,2 cm,2 2 cm,3 cm,2 3 cm,The relevant circle measure for “In the given figure TA is a” is 2 3 cm.,Mathematics,WX1YZ/4
"The distance of the point (–1, 7) from xoaxis is:",–1,7,6,50,7,The coordinate formula for “The distance of the point 1 7” gives 7.,Mathematics,WX1YZ/4
"The empirical relation between the mode, median and mean of a distribution is:",Mode = 3 Median – 2 Mean,Mode = 3 Mean – 2 Median,Mode = 2 Median – 3 Mean,Mode = 2 Mean – 3 Median,Mode = 3 Median – 2 Mean,Substituting the given data in the statistics formula gives Mode = 3 Median – 2 Mean.,Mathematics,WX1YZ/4
"The next term of the A.P. : 6, 24 , 54 is:",60,96,72,216,96,Applying the arithmetic-progression relation gives 96.,Mathematics,WX1YZ/4
The pair of linear equations 2x = 5y + 6 and 15y = 6x – 18 represents two lines which are:,intersecting,parallel,coincident,either intersecting or parallel,coincident,Substituting the given values for “The pair of linear equations 2x 5y” gives coincident.,Mathematics,WX1YZ/4
Two dice are thrown together. The probability of getting the difference of numbers on their upper faces equals to 3 is:,1 9,2 9,1 6,1 12,1 6,Favourable outcomes divided by all equally likely outcomes gives 1 6.,Mathematics,WX1YZ/4
What is the area of a semiocircle of diameter ‘d’?,21πd 16,21πd 4,21πd 8,21πd 2,21πd 8,The relevant circle measure for “What is the area of a semiocircle” is 21πd 8.,Mathematics,WX1YZ/4
"A bag contains 5 red balls and n green balls. If the probability of drawing a green ball is three times that of a red ball, then the value of n is:",18,15,10,20,15,Favourable outcomes divided by all equally likely outcomes gives 15.,Mathematics,WX1YZ/4
A card is drawn at random from a wellfshuffled pack of 52 cards. The probability that the card drawn is not an ace is:,1 13,9 13,4 13,12 13,12 13,Favourable outcomes divided by all equally likely outcomes gives 12 13.,Mathematics,WX1YZ/4
For the following distribution : 1 Class 0-5 5-10 10-15 15-20 20-25 Frequency 10 15 12 20 9 The sum of lower limits of median class and modal class is,15,25,30,35,25,Substituting the given data in the statistics formula gives 25.,Mathematics,WX1YZ/4
"In the given figure, O is the centre of the circle and PQ is the chord. If the tangent PR at P makes an angle of 50 o with PQ, then the measure of ∠POQ is:",50 o,40 o,100 o,130 o,100 o,The relevant circle measure for “In the given figure O is the” is 100 o.,Mathematics,WX1YZ/4
The length of tangent drawn to a circle of radius 9 cm from a point 41 cm from the centre is:,40 cm,9 cm,41 cm,50 cm,40 cm,Favourable outcomes divided by all equally likely outcomes gives 40 cm.,Mathematics,WX1YZ/4
What is the area of a semifcircle of diameter ‘d’?,21 πd 16,21 πd 4,21 πd 8,21 πd 2,21 πd 8,The relevant circle measure for “What is the area of a semifcircle” is 21 πd 8.,Mathematics,WX1YZ/4
Which of the following is true for all values of θ (0 o ≤ θ ≤ 90 o)?,cos 2 θ – sin 2 θ =,cosec 2 θ – sec 2 θ =,sec 2 θ – tan 2 θ =,cot 2 θ – tan 2 θ =,sec 2 θ – tan 2 θ =,Substituting the given values for “Which of the following is true for” gives sec 2 θ – tan 2 θ =.,Mathematics,WX1YZ/4
A card is drawn at random from a wellqshuffled pack of 52 cards. The probability that the card drawn is not an ace is:,1 13,9 13,4 13,12 13,12 13,Favourable outcomes divided by all equally likely outcomes gives 12 13.,Mathematics,WX1YZ/4
For the following distribution : Marks Below 10 20 30 40 50 60 Number of Students 3 12 27 57 75 80 The modal class is:,10q20,20q30,30q40,50q60,30q40,Substituting the given values for “For the following distribution Marks Below 10” gives 30q40.,Mathematics,WX1YZ/4
"In the given figure, PQ || AC. If BP = 4 cm, AP = 2.4 cm and BQ = 5 cm, then length of BC is:",8 cm,3 cm,0.3 cm,25 3 cm,8 cm,Applying the arithmetic-progression relation gives 8 cm.,Mathematics,WX1YZ/4
"In the given figure, PT is a tangent at T to the circle with centre O. If ∠TPO = 25 o, then x is equal to:",25 o,65 o,90 o,115 o,115 o,The relevant circle measure for “In the given figure PT is a” is 115 o.,Mathematics,WX1YZ/4
What is the area of a semiqcircle of diameter ‘d’?,21πd 16,21πd 4,21πd 8,21πd 2,21πd 8,The relevant circle measure for “What is the area of a semiqcircle” is 21πd 8.,Mathematics,WX1YZ/4
A circle is of radius 3 cm. The distance between two of its parallel tangents is,12 cm,6 cm,3 cm,4·5 cm15. The median class for the data given below is : Class 20 40 40 60 60 80 80 100 100 120 Frequency 10 12 14 13 17,6 cm,The coordinate formula for “A circle is of radius 3 cm” gives 6 cm.,Mathematics,WX1YZ/5
LCM of (2³ × 3 × 5) and (2⁴ × 5 × 7) is,40,560,1680,1120,1680,Prime factorisation of the stated numbers gives 1680.,Mathematics,WX1YZ/5
One card is drawn at random from a well shuffled deck of 52 playing,521,131,261,614. The distance between the points A(0,521,Favourable outcomes divided by all equally likely outcomes gives 521.,Mathematics,WX1YZ/5
"If cos = 73, then sin1 cos2 is equal to",403,73,37,407,403,Using the standard trigonometric identity gives 403.,Mathematics,WX1YZ/5
"The distance between the points (6, 2) and ( 6, 2) is",26 units,12 units,62 units,6 units,12 units,The coordinate formula for “The distance between the points 6 2” gives 12 units.,Mathematics,WX1YZ/5
HCF of (3⁴ × 2² × 7³) and (3² × 5 × 7) is,630,63,729,567,63,Prime factorisation of the stated numbers gives 63.,Mathematics,WX1YZ/5
"If sin = 43, then sin cos 1) (sec22 equals",53,43,34,169,43,Using the standard trigonometric identity gives 43.,Mathematics,WX1YZ/5
"In the given figure, AD = 2 cm, DB = 3 cm, DE = 2·5 cm and DE BC. The value of x is",6 cm,3·75 cm,6·25 cm,7·5 cm,3·75 cm,Substituting the given values for “In the given figure AD 2 cm” gives 3·75 cm.,Mathematics,WX1YZ/5
"In the given figure, O is the centre of the circle and PA is a tangent to the circle. If OAB = 60, then OPA is equal to",60,30,15,20,30,The relevant circle measure for “In the given figure O is the” is 30.,Mathematics,WX1YZ/5
One card is drawn at random from a well shuffled deck of 52 playing cards. The probability that it is a red king is,521,261,262,132,261,Favourable outcomes divided by all equally likely outcomes gives 261.,Mathematics,WX1YZ/5
The sum of the first 50 odd natural numbers is,5000,2500,2550,5050,2500,Substituting the given values for “The sum of the first 50 odd” gives 2500.,Mathematics,WX1YZ/5
(1 − tan² 30°) / (1 + tan² 30°) is equal to,sin 60°,cos 60°,tan 60°,sin 30°,cos 60°,Using the standard trigonometric identity gives cos 60°.,Mathematics,WX1YZ/5
"If every term of the statistical data consisting of n terms is decreased by 2, then the mean of the data",decreases by 2,remains unchanged,decreases by 2n,decreases by,decreases by 2,Substituting the given data in the statistics formula gives decreases by 2.,Mathematics,WX1YZ/5
"If the mean and the median of a data are 12 and 15 respectively, then its mode is",13·5,21,6,14,21,Substituting the given data in the statistics formula gives 21.,Mathematics,WX1YZ/5
"In the given figure, AB = BC = 10 cm. If AC = 7 cm, then the length of BP is",3·5 cm,7 cm,6·5 cm,5 cm,6·5 cm,Substituting the given values for “In the given figure AB BC 10” gives 6·5 cm.,Mathematics,WX1YZ/5
"In the given figure, AC and AB are tangents to a circle centered at O. If COD = 120, then BAO is equal to",30,60,45,90,30,The relevant circle measure for “In the given figure AC and AB” is 30.,Mathematics,WX1YZ/5
"In the given figure, DE BC. The value of x is",6,12·5,8,10,10,Substituting the given values for “In the given figure DE BC The” gives 10.,Mathematics,WX1YZ/5
"The 11th term from the end of the A.P. : 10, 7, 4, ......., 62 is",25,16,32,0,32,Applying the arithmetic-progression relation gives 32.,Mathematics,WX1YZ/5
"The common difference of the A.P. whose nth term is given by an = 3n + 7, is",7,3,3n,1,3,Applying the arithmetic-progression relation gives 3.,Mathematics,WX1YZ/5
"The distance between the points P 5,311 and Q 5,32 is",6 units,4 units,2 units,3 units,3 units,The coordinate formula for “The distance between the points P 5” gives 3 units.,Mathematics,WX1YZ/5
The number of polynomials having zeroes 3 and 5 is,only one,infinite,exactly two,at most two,infinite,Substituting the given values for “The number of polynomials having zeroes 3” gives infinite.,Mathematics,WX1YZ/5
Two coins are tossed together. The probability of getting at least one tail is,41,21,43,1,43,Favourable outcomes divided by all equally likely outcomes gives 43.,Mathematics,WX1YZ/5
Water in a river which is 3 m deep and 40 m wide is flowing at the rate of 2 km/h. How much water will fall into the sea in 2 minutes?,800 m3,4000 m3,8000 m3,2000 m3,8000 m3,Substituting the given values for “Water in a river which is 3” gives 8000 m3.,Mathematics,WX1YZ/5
Which of the following numbers cannot be the probability of happening of an event?,0,01·07,0·07,307·0,01·07,Favourable outcomes divided by all equally likely outcomes gives 01·07.,Mathematics,WX1YZ/5
"If the endpoints of a diameter of a circle are (−5, 4) and (1, 0), then the radius of the circle is",2√13 units,√13 units,4√2 units,2√2 units,√13 units,The relevant circle measure for “If the endpoints of a diameter of” is √13 units.,Mathematics,WX1YZ/5
The number of polynomials having zeroes 1 and 2 is,exactly 2,only,at most 2,infinite,infinite,Substituting the given values for “The number of polynomials having zeroes 1” gives infinite.,Mathematics,WX1YZ/5
Two dice are rolled together. What is the probability of getting a sum greater than 10?,91,61,121,185,121,Favourable outcomes divided by all equally likely outcomes gives 121.,Mathematics,WX1YZ/5
"If sec tan = 31, then the value of (sec + tan ) is",34,32,31,3,3,Using the standard trigonometric identity gives 3.,Mathematics,WX1YZ/5
"If the mean and the mode of a distribution are 15 and 18 respectively, then the median of the distribution is",17,15,16,18,16,Substituting the given data in the statistics formula gives 16.,Mathematics,WX1YZ/5
"In the given figure, AB is a tangent to the circle centered at O. If OA = 6 cm and OAB = 30, then the radius of the circle is",3 cm,33 cm,2 cm,3 cm,3 cm,The relevant circle measure for “In the given figure AB is a” is 3 cm.,Mathematics,WX1YZ/5
"One card is drawn at random from a well shuffled pack of 52 playing cards. The probability that the drawn card is a queen, is",134,524,132,261,524,Favourable outcomes divided by all equally likely outcomes gives 524.,Mathematics,WX1YZ/5
"PQ is tangent to a circle centered at O. If the radius of the circle is 5 cm, then the length of the tangent PQ is",35 cm,310 cm,10 cm,35 cm,35 cm,The relevant circle measure for “PQ is tangent to a circle centered” is 35 cm.,Mathematics,WX1YZ/5
"A die is rolled once. The probability that the obtained number is more than 5, is",65,61,32,31,32,Favourable outcomes divided by all equally likely outcomes gives 32.,Mathematics,WX1YZ/C
A quadratic polynomial having zeroes 7 and 0 is,x (x2,7x2,71 (x2 x),7 (x2 7x),7x2,Substituting the given values for “A quadratic polynomial having zeroes 7 and” gives 7x2.,Mathematics,WX1YZ/C
"If cosec A = 57, then value of tan A . cos A is",57,562,4924,75,4924,Using the standard trigonometric identity gives 4924.,Mathematics,WX1YZ/C
The pair of linear equations 5x + 4y = 20 and 10x + 8y = 16 has,no solution,infinite number of solutions,a unique solution,two solutions,infinite number of solutions,Substituting the given values for “The pair of linear equations 5x 4y” gives infinite number of solutions.,Mathematics,WX1YZ/C
Total surface area (internal and external) of a hemispherical bowl having radii r1 and r2 (r2 > r1) is,)rr(22221,)rr(2221,2122rr3,2221rr3,)rr(2221,The stated mensuration formula evaluates to )rr(2221.,Mathematics,WX1YZ/C
"If cos A = 85, then value of cot A . sin A is",395,85,398,58,398,Using the standard trigonometric identity gives 398.,Mathematics,WX1YZ/C
"In the given figure, graph of a polynomial p(x) is given. Number of zeroes of p(x) is",3,4,5,2,4,Substituting the given values for “In the given figure graph of a” gives 4.,Mathematics,WX1YZ/C
"In the given figure, PA and PB are tangents to a circle centred at O. If APB = 30, then OAB equals",30,15,45,10,15,The relevant circle measure for “In the given figure PA and PB” is 15.,Mathematics,WX1YZ/C
A quadratic polynomial having zeroes 6 and 0 is,x (x2 +,6x (x +,6x2,6 (x2 x),6x (x +,Substituting the given values for “A quadratic polynomial having zeroes 6 and” gives 6x (x +.,Mathematics,WX1YZ/C
"In the given figure, PA and PB are tangents to a circle centred at O. If APB = 50, then AOB is equal to",130,50,120,90,120,The relevant circle measure for “In the given figure PA and PB” is 120.,Mathematics,WX1YZ/C
"The HCF of two numbers is 27 and their LCM is 162. If one of the numbers is 54, the other number is",36,45,9,81,45,Prime factorisation of the stated numbers gives 45.,Mathematics,WX1YZ/C
"The probability that a month of 30 days has 5 Sundays, is",71,72,151,305,151,Favourable outcomes divided by all equally likely outcomes gives 151.,Mathematics,WX1YZ/C
"A number x is chosen from {1, 2, 3} and y is chosen from {1, 4, 9}. Then P(xy < 9) is",01-Sep,01-Mar,05-Sep,07-Sep,05-Sep,Favourable outcomes divided by all equally likely outcomes gives 5/9.,Mathematics,WX1YZ/C
"If a bicycle wheel makes 5000 revolutions in moving 11 km, then the diameter of the wheel is",65 cm,35 cm,70 cm,50 cm,35 cm,Substituting the given values for “If a bicycle wheel makes 5000 revolutions” gives 35 cm.,Mathematics,WX1YZ/C
"If x, 2x + 9, 4x + 3 are three consecutive terms of an A.P., then the value of x is",3,10,13,15,15,Applying the arithmetic-progression relation gives 15.,Mathematics,WX1YZ/C
Lali tosses two different coins simultaneously. The probability that she gets at most one head is,1,43,21,71,1,Favourable outcomes divided by all equally likely outcomes gives 1.,Mathematics,WX1YZ/C
The condition for which the pair of equations ax + 2y = 7 and 3x + by = 16 represent parallel lines is,ab = 167,ab = 6,ab = 3,ab = 2,ab = 6,Substituting the given values for “The condition for which the pair of” gives ab = 6.,Mathematics,WX1YZ/C
The values of k for which the equation 4x2 + kx + 9 = 0 has real and equal roots are,11,12,6,3,12,Substituting the given values for “The values of k for which the” gives 12.,Mathematics,WX1YZ/C
2 cos² θ (1 + tan² θ) is equal to,0,1,2,3,2,Using the standard trigonometric identity gives 2.,Mathematics,WX1YZ/C
"A number is chosen from the numbers 1, 2, 3 and denoted as x, and a number is chosen from the numbers 1, 4, 9 and denoted as y. Then P(xy < 9) is",91,93,95,97,93,Favourable outcomes divided by all equally likely outcomes gives 93.,Mathematics,WX1YZ/C
"Graphically, the pair of equations 6x 2y = 21 and 2x 3y + 7 = 0 represents two lines which are",intersecting exactly at one point,intersecting exactly at two points,coincident,parallel,coincident,Substituting the given values for “Graphically the pair of equations 6x 2y” gives coincident.,Mathematics,WX1YZ/C
"If 2x, x + 10, 3x + 2 are three consecutive terms of an A.P., then the value of x is",4,5,6,8,4,Applying the arithmetic-progression relation gives 4.,Mathematics,WX1YZ/C
"If AB is a chord of a circle with centre at O(2, 3), where the coordinates of A and B are (4, 3) and (x, 5) respectively, then the value of x is",3,2,5,4,5,The coordinate formula for “If AB is a chord of a” gives 5.,Mathematics,WX1YZ/C
"In a single throw of two dice, the probability of getting a sum of 10 is",121,361,61,41,121,Favourable outcomes divided by all equally likely outcomes gives 121.,Mathematics,WX1YZ/C
"The value of k for which the quadratic equation 2x2 10x + k = 0 has real and equal roots, is",225,51,25,21,51,Substituting the given values for “The value of k for which the” gives 51.,Mathematics,WX1YZ/C
"Graphically, the pair of linear equations 3x y + 8 = 0 and 3x y = 24 represents two lines which are",intersecting exactly at one point,intersecting exactly at two points,coincident,parallel,intersecting exactly at one point,Substituting the given values for “Graphically the pair of linear equations 3x” gives intersecting exactly at one point.,Mathematics,WX1YZ/C
"If x + 1, 3x and 4x + 2 are three consecutive terms of an A.P., then the value of x is",2,3,4,5,3,Applying the arithmetic-progression relation gives 3.,Mathematics,WX1YZ/C
"An old pe rson is suffering from an eye defect caused by weakening of ciliary muscles and diminishing flexibility of the eye lens. If the defect of vision is ‘a’ which can be corrected by lens ‘b’, then ‘a’ and ‘b’ respectively are",hypermetropia and convex lens,presbyopia and bifocal lens,myopia and concave lens,myopia and bifocal lens,presbyopia and bifocal lens,The applicable optics principle identifies presbyopia and bifocal lens.,Science,1GEFH
Consider the following reactions : (i) Dilute hydrochloric acid reacts with sodium hydroxide. (ii) Magnesium oxide reacts with dilute hydrochloric acid. (iii) Carbon dioxide reacts with sodium hydroxide. It is found that in each case,Salt and water is formed.,Neutral salts are formed.,Hydrogen gas is formed.,Acidic salts are formed.,Salt and water is formed.,The chemical property or reaction shown identifies Salt and water is formed..,Science,1GEFH
"If pea plants with round and green seeds (RRyy) are crossed with pea plants having wrinkled and yellow seeds (rrYY), the seeds developed by the plants of F1 generation will be",50% round and green,75% wrinkled and green,100% round and yellow,75% wrinkled and yellow,50% round and green,The described biological process supports 50% round and green.,Science,1GEFH
"Mirror ‘X’ is used to concentrate sunlight in solar furnace and Mirror ‘Y’ is fitted on the side of the vehicle to see the traffic behind the driver. Which of the following statements are true for the two mirrors ? (i) The image formed by mirror ‘X’ is real, diminished and at its focus. (ii) The image formed by mirror ‘Y’ is virtual, diminished and erect. (iii) The image formed by mirror ‘X’ is virtual, diminished and erect. (iv) The image formed by mirror ‘Y’ is real, diminished and at its focus.",(i) and (ii),(ii) and (iii),(iii) and (iv),(i) and (iv),(i) and (ii),The applicable optics principle identifies (i) and (ii).,Science,1GEFH
Secretion of less saliva in mouth will effect the conversion of,proteins into amino acids,fats into fatty acids and glycerol,starch into simple sugars,sugars into alcohol,proteins into amino acids,The scientific principle described in “Secretion of less saliva in mouth will” supports proteins into amino acids.,Science,1GEFH
The correct/true statement(s) for a bisexual flower is/are : (i) They possess both stamen and pistil. (ii) They possess either stamen or pistil. (iii) They exhibit either self-pollination or cross-pollination. (iv) They cannot produce fruits on their own.,(i) only,(iv) only,(i) and (iii),(i) and (iv),(i) and (iii),The scientific principle described in “The correct true statement s for a” supports (i) and (iii).,Science,1GEFH
"The following table shows the pH values of four solutions A, B, C and D on a pH scale : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 The solutions A, B, C and D respectively are of a","Strong acid, weak acid, neutral, strong base","Weak acid, neutral, weak base, strong base","Weak acid, neutral, strong base, weak base","Weak acid, neutral, strong base, strong acid","Weak acid, neutral, strong base, strong acid","The chemical property or reaction shown identifies Weak acid, neutral, strong base, strong acid.",Science,1GEFH
The metals obtained from their molten chlorides by the process of electrolytic reduction are,Gold and silver,Calcium and magnesium,Aluminium and silver,Sodium and iron,Gold and silver,The chemical property or reaction shown identifies Gold and silver.,Science,1GEFH
The percentage of solar energy which is not converted into food energy by the leaves of green plants in a terrestrial ecosystem is about,1%,10%,90%,99%,99%,Energy flow and nutrient cycling make 99% correct.,Science,1GEFH
The plant hormone whose concentration stimulates the cells to grow longer on the side of the shoot which is away from light is,Cytokinins,Gibberellins,Adrenaline,Auxins,Auxins,The applicable optics principle identifies Auxins.,Science,1GEFH
The products formed when Aluminium and Magnesium are burnt in the presence of air respectively are,Al3O4 and MgO2,Al2O3 and MgO,Al3O4 and MgO,Al2O3 and MgO2,Al2O3 and MgO,The scientific principle described in “The products formed when Aluminium and Magnesium” supports Al2O3 and MgO.,Science,1GEFH
"Which of the following groups do not constitute a food chain ? (i) Wolf, rabbit, grass, lion (ii) Plankton, man, grasshopper, fish (iii) Hawk, grass, snake, grasshopper, frog (iv) Grass, snake, wolf, tiger",(i) and (iv),(i) and (iii),(ii) and (iii),(ii) and (iv),(i) and (iv),Energy flow and nutrient cycling make (i) and (iv) correct.,Science,1GEFH
"In one formula unit of salt ‘X’, seven molecules of water of crystallisation are present. The salt ‘X’ is",CuSO4,Na2CO3,FeSO4,CaSO4,CuSO4,The scientific principle described in “In one formula unit of salt X” supports CuSO4.,Science,1GEFH
"Reaction between two elements A and B, forms a compound C. A loses electrons and B gains electrons. Which one of the following properties will not be shown by compound C?",It has high melting point.,It is highly soluble in water.,It has weak electrostatic forces of attraction between its oppositely charged ions.,It conducts electricity in its molten state or aqueous solution.,It has high melting point.,The chemical property or reaction shown identifies It has high melting point..,Science,1GEFH
The phenomenon responsible for making the smoke particles visible when a beam of sunlight enters a smoke filled room through a narrow hole is,scattering of light,dispersion of light,reflection of light,internal reflection of light,scattering of light,The applicable optics principle identifies scattering of light.,Science,1GEFH
Tooth enamel is made up of calcium hydroxyapatite (a crystalline form of calcium phosphate). This chemical starts corroding in the mouth when the pH is,7,5,10,14,5,The chemical property or reaction shown identifies 5.,Science,1GEFH
"A wire of length ‘l’ is gradually stretched so that its length increases to 3l. If its original resistance is R, then its new resistance will be",3R,6R,9R,27R,9R,The stated electricity or magnetism rule gives 9R.,Science,3EGFH
Match Column-I with Column -II and select the correct option from the choices provided. Column-I Column-II a. Site of fertilisation of egg with the sperm (i) Vagina b. Site of implantation of embryo (ii) Uterus c. Site of entry of sperm into the female reproductive tract (iii) Oviduct d. Site through which the waste materials generated by the developing embryo are removed (iv) Placenta (v) Cervix,"a-(ii), b-(i), c-(v), d-(iv)","a-(iii), b-(i), c-(v), d-(iv)","a-(iv), b-(ii), c-(iii), d-(i)","a-(iii), b-(ii), c-(i), d-(iv)","a-(iii), b-(ii), c-(i), d-(iv)","The described biological process supports a-(iii), b-(ii), c-(i), d-(iv).",Science,3EGFH
"Other than the abiotic components, which of the given biotic compone nts are not required to make an aquarium with small herbivorous fishes a self-sustaining system ? (i) Aquatic plants and aquatic animals (ii) Terrestrial plants and terrestrial animals (iii) Decomposers as bacteria and fungi (iv) Consumers as clown fishes and sea urchins",(i) and (iv),(ii) and (iii),(i) and (iii),(ii) and (iv),(ii) and (iv),Energy flow and nutrient cycling make (ii) and (iv) correct.,Science,3EGFH
Select a pair of bisexual flowers from the following,Papaya and mustard,Hibiscus and mustard,Hibiscus and papaya,Hibiscus and watermelon,Hibiscus and mustard,The scientific principle described in “Select a pair of bisexual flowers from” supports Hibiscus and mustard.,Science,3EGFH
The most common method of extraction of metals from their oxide ores is,Reduction with carbon,Reduction with hydrogen,Reduction with aluminium,Electrolytic reduction,Reduction with carbon,The chemical property or reaction shown identifies Reduction with carbon.,Science,3EGFH
The part of the brain which maintains the posture and balance of the body is,Pons,Cerebrum,Cerebellum,Medulla,Cerebellum,The scientific principle described in “The part of the brain which maintains” supports Cerebellum.,Science,3EGFH
The plant hormone present in greater concentration in the areas of rapidly dividing cells is,Auxin,Cytokinins,Gibberellins,Abscisic acid,Cytokinins,The described biological process supports Cytokinins.,Science,3EGFH
The strength of magnetic field produced inside a long straig ht current carrying solenoid does not depend upon,number of turns in the solenoid,direction of current flowing through the solenoid,material of the core filled inside the solenoid,radius of the coil of the solenoid,radius of the coil of the solenoid,The stated electricity or magnetism rule gives radius of the coil of the solenoid.,Science,3EGFH
"When a beam of white light passes through a region of very fine dust particles, the colour of light that scatters the most in that region is",red,orange,blue,yellow,blue,The applicable optics principle identifies blue.,Science,3EGFH
Which of the given option represents a family of salts?,"NaCl, Na2SO4, CaSO4","K2SO4, Na2SO4, CaSO4","NaNO3, CaCO3, Na2CO3","MgSO4, CuSO4, MgCl2","K2SO4, Na2SO4, CaSO4","The scientific principle described in “Which of the given option represents a” supports K2SO4, Na2SO4, CaSO4.",Science,3EGFH
